Date,Close
4/8/2019,11.31
4/9/2019,11.15
4/10/2019,11.08
4/11/2019,10.97
4/12/2019,10.55
4/15/2019,10.57
4/16/2019,10.37
4/17/2019,10.41
4/18/2019,10.39
4/22/2019,10.45
4/23/2019,10.53
4/24/2019,10.58
4/25/2019,10.52
4/26/2019,10.65
4/29/2019,10.75
4/30/2019,10.76
5/1/2019,10.77
5/2/2019,10.57
5/3/2019,10.33
5/6/2019,10.45
5/7/2019,10.34
5/8/2019,10.39
5/9/2019,10.2
5/10/2019,10.26
5/13/2019,10.11
5/14/2019,10.21
5/15/2019,10.39
5/16/2019,10.51
5/17/2019,10.17
5/20/2019,10.2
5/21/2019,10.18
5/22/2019,10.22
5/23/2019,10.16
5/24/2019,10.23
5/28/2019,10.3
5/29/2019,10.27
5/30/2019,10.57
5/31/2019,10.47
6/3/2019,10.45
6/4/2019,10.58
6/5/2019,10.44
6/6/2019,10.53
6/7/2019,10.63
6/10/2019,10.78
6/11/2019,10.84
6/12/2019,10.8
6/13/2019,10.62
6/14/2019,10.6
6/17/2019,10.6
6/18/2019,10.75
6/19/2019,10.6
6/20/2019,10.77
6/21/2019,10.72
6/24/2019,10.68
6/25/2019,10.65
6/26/2019,10.66
6/27/2019,10.62
6/28/2019,10.7
7/1/2019,10.7
7/2/2019,10.76
7/3/2019,10.74
7/5/2019,10.69
7/8/2019,10.56
7/9/2019,10.42
7/10/2019,10.48
7/11/2019,10.72
7/12/2019,11.4
7/15/2019,11.5
7/16/2019,11.53
7/17/2019,11.49
7/18/2019,11.55
7/19/2019,11.39
7/22/2019,11.46
7/23/2019,11.49
7/24/2019,11.46
7/25/2019,11.52
7/26/2019,11.48
7/29/2019,11.51
7/30/2019,11.42
7/31/2019,11.32
8/1/2019,11.26
8/2/2019,11.08
8/5/2019,10.9
8/6/2019,11
8/7/2019,11.16
8/8/2019,11.25
8/9/2019,11.13
8/12/2019,11.1
8/13/2019,11.06
8/14/2019,10.79
8/15/2019,10.93
8/16/2019,11.07
8/19/2019,11.13
8/20/2019,11.33
8/21/2019,11.3
8/22/2019,11.21
8/23/2019,11.11
8/26/2019,11.13
8/27/2019,11.15
8/28/2019,11.2
8/29/2019,11.39
8/30/2019,11.49
9/3/2019,11.28
9/4/2019,11.68
9/5/2019,12.07
9/6/2019,11.81
9/9/2019,11.64
9/10/2019,11.62
9/11/2019,11.58
9/12/2019,11.68
9/13/2019,11.77
9/16/2019,11.76
9/17/2019,11.67
9/18/2019,11.7
9/19/2019,11.6
9/20/2019,11.35
9/23/2019,11
9/24/2019,11.04
9/25/2019,11.06
9/26/2019,11.13
9/27/2019,11.21
9/30/2019,11.37
10/1/2019,11.04
10/2/2019,11.08
10/3/2019,11.16
10/4/2019,11.22
10/7/2019,11.29
10/8/2019,11.12
10/9/2019,11.16
10/10/2019,11.18
10/11/2019,10.97
10/14/2019,10.62
10/15/2019,10.67
10/16/2019,10.6
10/17/2019,10.59
10/18/2019,10.57
10/21/2019,9.29
10/22/2019,9.01
10/23/2019,9.04
10/24/2019,8.93
10/25/2019,9.2
10/28/2019,9.16
10/29/2019,9.31
10/30/2019,9.32
10/31/2019,9.59
11/1/2019,9.52
11/4/2019,9.76
11/5/2019,9.72
11/6/2019,9.88
11/7/2019,10.02
11/8/2019,9.68
11/11/2019,9.79
11/12/2019,9.75
11/13/2019,9.71
11/14/2019,9.87
11/15/2019,9.86
11/18/2019,9.86
11/19/2019,9.83
11/20/2019,9.92
11/21/2019,9.87
11/22/2019,9.6
11/25/2019,9.87
11/26/2019,9.65
11/27/2019,9.78
11/29/2019,9.83
12/2/2019,9.69
12/3/2019,9.67
12/4/2019,9.86
12/5/2019,9.89
12/6/2019,9.94
12/9/2019,9.94
12/10/2019,10.04
12/11/2019,10.07
12/12/2019,10.03
12/13/2019,10.08
12/16/2019,10.13
12/17/2019,10.29
12/18/2019,10.33
12/19/2019,10.27
12/20/2019,10.29
12/23/2019,10.29
12/24/2019,10.24
12/26/2019,10.17
12/27/2019,10.26
12/30/2019,10.16
12/31/2019,10.32
1/2/2020,10.29
1/3/2020,10.31
1/6/2020,10.21
1/7/2020,10.1
1/8/2020,10.09
1/9/2020,10.48
1/10/2020,10.65
1/13/2020,10.88
1/14/2020,10.86
1/15/2020,10.85
1/16/2020,10.85
1/17/2020,10.88
1/21/2020,10.85
1/22/2020,11.04
1/23/2020,11.06
1/24/2020,11.03
1/27/2020,10.99
1/28/2020,11.1
1/29/2020,11.06
1/30/2020,11.06
1/31/2020,10.96
2/3/2020,10.94
2/4/2020,11.1
2/5/2020,11.04
2/6/2020,10.96
2/7/2020,10.85
2/10/2020,10.92
2/11/2020,10.95
2/12/2020,11.22
2/13/2020,11.1
